speaker	sex	speaker_num	age	TMF	GEPAQ_M	GEPAQ_F	AQ1	AQ2	social2	switching2	detail2	comm2	imagine2	BAP_total	BAP_praglang	BAP_aloof	BAP_rigid	phrase_position	filler_target_order	utterance_position	hyper_context	consonants	v_space_hz	v_space_bk	euclid_dis_hz	euclid_dis_bk
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	b_final	b_filler_target	boundary	b_yes	bt	563804.9176	17.36440213	668.3341388	3.08276431
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	b_final	b_filler_target	boundary	b_yes	hd	501810.1272	15.66338009	660.5923593	2.963867006
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	b_final	b_filler_target	boundary	a_no	bt	597723.207	18.57111375	679.3548181	3.132953457
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	b_final	b_filler_target	boundary	a_no	hd	562372.7976	17.81969191	714.0824925	3.152261986
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	b_final	a_target_filler	medial	b_yes	bt	501440.7436	15.86571909	651.2466626	2.987420768
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	b_final	a_target_filler	medial	b_yes	hd	524375.1588	16.71013507	700.7561523	3.060436808
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	b_final	a_target_filler	medial	a_no	bt	584935.8833	18.0696626	692.0521101	3.141399939
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	b_final	a_target_filler	medial	a_no	hd	527295.4116	16.04639033	685.0927089	2.990211198
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	a_initial	a_target_filler	boundary	b_yes	bt	630384.5922	19.72565451	715.029663	3.26113407
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	a_initial	a_target_filler	boundary	b_yes	hd	681879.2232	22.49377279	749.809663	3.48206343
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	a_initial	a_target_filler	boundary	a_no	bt	597088.0283	18.48561783	704.6799304	3.187757197
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	a_initial	a_target_filler	boundary	a_no	hd	725230.544	22.99855045	758.7270229	3.510709447
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	a_initial	b_filler_target	medial	b_yes	bt	599710.6269	18.1721228	703.006229	3.151033807
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	a_initial	b_filler_target	medial	b_yes	hd	577005.9761	17.6590403	712.0101793	3.111904057
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	a_initial	b_filler_target	medial	a_no	bt	669618.7526	21.23554386	743.3669789	3.41229025
1	b_female	f1	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	a_initial	b_filler_target	medial	a_no	hd	618886.8511	19.24920301	746.9361663	3.267784814
2	b_female	f2	19	37	25	32	21	116	22	29	31	16	18	108	37	29	42	b_final	b_filler_target	boundary	b_yes	bt	558741.9512	15.72221984	639.833377	3.038001929
2	b_female	f2	19	37	25	32	21	116	22	29	31	16	18	108	37	29	42	b_final	b_filler_target	boundary	b_yes	hd	NA	NA	NA	NA
