"speaker"	"sex"	"speaker_num"	"age"	"TMF"	"GEPAQ_M"	"GEPAQ_F"	"AQ1"	"AQ2"	"social2"	"switching2"	"detail2"	"comm2"	"imagine2"	"BAP_total"	"BAP_praglang"	"BAP_aloof"	"BAP_rigid"	"phrase_position"	"filler_target_order"	"hyper_context"	"consonants"	"v_space_hz"	"v_space_bk"	"euclid_dis_hz"	"euclid_dis_bk"	"TMF.c"	"GEPAQ_F.c"	"age.c"	"v_space_hz.c"	"v_space_bk.c"	"euclid_dis_bk.c"
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"b_final"	"b_filler_target"	"b_yes"	"bt"	563804.9176	17.36440213	668.3341388	3.08276431	14.6756756756757	3.83783783783784	-0.824324324324323	103392.053021648	2.42177543833216	0.206582208911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"b_final"	"b_filler_target"	"b_yes"	"hd"	501810.1272	15.66338009	660.5923593	2.963867006	14.6756756756757	3.83783783783784	-0.824324324324323	41397.2626216476	0.720753398332159	0.0876849049118942
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"b_final"	"b_filler_target"	"a_no"	"bt"	597723.207	18.57111375	679.3548181	3.132953457	14.6756756756757	3.83783783783784	-0.824324324324323	137310.342421648	3.62848705833216	0.256771355911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"b_final"	"b_filler_target"	"a_no"	"hd"	562372.7976	17.81969191	714.0824925	3.152261986	14.6756756756757	3.83783783783784	-0.824324324324323	101959.933021648	2.87706521833216	0.276079884911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"b_final"	"a_target_filler"	"b_yes"	"bt"	501440.7436	15.86571909	651.2466626	2.987420768	14.6756756756757	3.83783783783784	-0.824324324324323	41027.8790216476	0.923092398332159	0.111238666911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"b_final"	"a_target_filler"	"b_yes"	"hd"	524375.1588	16.71013507	700.7561523	3.060436808	14.6756756756757	3.83783783783784	-0.824324324324323	63962.2942216475	1.76750837833216	0.184254706911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"b_final"	"a_target_filler"	"a_no"	"bt"	584935.8833	18.0696626	692.0521101	3.141399939	14.6756756756757	3.83783783783784	-0.824324324324323	124523.018721648	3.12703590833216	0.265217837911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"b_final"	"a_target_filler"	"a_no"	"hd"	527295.4116	16.04639033	685.0927089	2.990211198	14.6756756756757	3.83783783783784	-0.824324324324323	66882.5470216476	1.10376363833216	0.114029096911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"a_initial"	"a_target_filler"	"b_yes"	"bt"	630384.5922	19.72565451	715.029663	3.26113407	14.6756756756757	3.83783783783784	-0.824324324324323	169971.727621648	4.78302781833216	0.384951968911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"a_initial"	"a_target_filler"	"b_yes"	"hd"	681879.2232	22.49377279	749.809663	3.48206343	14.6756756756757	3.83783783783784	-0.824324324324323	221466.358621648	7.55114609833216	0.605881328911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"a_initial"	"a_target_filler"	"a_no"	"bt"	597088.0283	18.48561783	704.6799304	3.187757197	14.6756756756757	3.83783783783784	-0.824324324324323	136675.163721648	3.54299113833216	0.311575095911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"a_initial"	"a_target_filler"	"a_no"	"hd"	725230.544	22.99855045	758.7270229	3.510709447	14.6756756756757	3.83783783783784	-0.824324324324323	264817.679421648	8.05592375833216	0.634527345911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"a_initial"	"b_filler_target"	"b_yes"	"bt"	599710.6269	18.1721228	703.006229	3.151033807	14.6756756756757	3.83783783783784	-0.824324324324323	139297.762321648	3.22949610833216	0.274851705911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"a_initial"	"b_filler_target"	"b_yes"	"hd"	577005.9761	17.6590403	712.0101793	3.111904057	14.6756756756757	3.83783783783784	-0.824324324324323	116593.111521648	2.71641360833216	0.235721955911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"a_initial"	"b_filler_target"	"a_no"	"bt"	669618.7526	21.23554386	743.3669789	3.41229025	14.6756756756757	3.83783783783784	-0.824324324324323	209205.888021648	6.29291716833216	0.536108148911894
1	"b_female"	"f1"	21	39	32	37	18	104	16	27	26	20	15	105	36	22	47	"a_initial"	"b_filler_target"	"a_no"	"hd"	618886.8511	19.24920301	746.9361663	3.267784814	14.6756756756757	3.83783783783784	-0.824324324324323	158473.986521648	4.30657631833216	0.391602712911894
