speaker	sex	COG_all	COG_coda	COG_onset	v_space_bk	euclid_dis_bk	TMF	GEPAQ_F
1	f	7580.100318	7609.203285	7550.997351	18.4836954	3.171160593	39	37
2	f	8355.095758	8244.538043	8458.743616	15.2758248	2.912883555	37	32
3	f	7939.780796	7540.420138	8339.141453	13.13901001	2.666844223	21	24
4	m	6482.338568	5989.667078	6975.010058	12.20461983	2.617169524	12	33
5	f	7591.093845	7316.886908	7865.300782	12.10815748	2.663229243	42	40
6	m	5505.368397	4977.588369	6033.148425	10.65522539	2.459377031	14	32
7	m	6722.530038	6485.222578	6959.837499	12.67065172	2.698946028	16	28
8	f	8401.220035	7998.986222	8778.314235	14.61756726	2.822143255	29	30
11	f	5567.241181	5465.173945	5669.308417	9.321900978	2.344011803	24	37
12	f	7939.017073	7869.031485	8009.00266	13.97984295	2.772793956	38	39
13	m	6531.641126	6351.774218	6700.266351	19.83265093	3.350679017	8	34
14	f	7462.103498	6978.508442	7945.698554	13.90760607	2.76752615	42	39
15	m	5578.927354	5538.921322	5618.933386	8.800673292	2.285333939	9	25
16	m	5581.303208	5476.926718	5685.679698	15.59151277	2.915191388	6	34
17	m	6173.048284	6130.191146	6213.22685	17.17692107	3.100137483	12	31
18	m	6372.275205	6029.881765	6714.668646	13.57175484	2.744631098	16	32
19	f	6991.907563	6677.25097	7306.564155	13.27516328	2.714397974	39	37
20	m	6520.454024	6157.63881	6883.269237	14.92971426	2.869289352	6	40
21	f	7256.970335	7000.243384	7513.697287	13.43363887	2.747727506	18	38
22	m	5275.059651	5005.62107	5544.498233	12.5197704	2.609899776	21	31
23	f	8587.199662	8379.830343	8808.393602	19.07005414	3.211606973	42	38
24	m	5210.840281	4822.686324	5598.994239	16.15966534	2.968601587	13	28
25	f	7966.943611	7771.369808	8162.517413	20.1967961	3.278725278	36	38
26	f	7582.067068	7454.61449	7709.519645	12.31952151	2.622917768	22	24
27	f	7823.621789	7445.67483	8201.568748	13.20725477	2.714282557	42	40
28	m	5586.089566	5241.14717	5931.031963	13.96158951	2.870356274	14	28
29	f	8232.844892	7806.303891	8659.385893	21.22643311	3.403813763	42	38
30	m	6330.477917	6166.771746	6483.952452	6.07399344	1.891790484	20	32
31	m	6089.118332	6095.004897	6083.231766	16.43299489	3.016842392	15	35
32	m	5775.806908	5395.637815	6132.215433	13.14179642	2.739196375	6	33
33	f	7764.363941	7532.550624	7996.177259	17.00363844	3.054800336	38	35
34	m	5488.902605	5089.601787	5838.290821	14.49514057	2.84053782	18	33
35	f	8845.835321	8512.977001	9178.693641	15.56441845	3.034990019	33	38
36	f	8623.680011	8489.243789	8758.116233	15.46221173	2.91257933	30	39
37	f	7568.264935	7192.020972	7944.508897	12.36482681	2.643455571	33	31
38	m	7030.048924	6632.322344	7427.775505	13.34976724	2.681584428	12	34
39	f	7943.963402	7563.03312	8324.893683	16.51387473	3.001244344	33	36
40	m	7189.190283	6965.536126	7412.84444	15.62605619	2.872818679	16	32
43	f	8006.02881	7835.186984	8176.870637	16.06823241	2.943863205	29	30
44	f	8964.581262	8543.997379	9385.165145	17.02962785	3.0415873	40	30
45	f	9016.023496	8769.356882	9262.690109	22.506737	3.496101788	42	35
46	f	8512.23812	8257.166148	8767.310092	14.28427617	2.794545392	35	33
47	f	6924.033182	6757.013901	7102.187082	7.190772239	2.134342927	25	34
48	f	8820.097052	8628.986243	9011.207861	17.36805103	3.056535745	36	30
49	f	8606.793922	8440.752888	8772.834956	20.50850793	3.268912114	28	32
50	f	7950.655478	7678.457825	8222.853132	15.07759227	2.893541091	35	36
51	f	7575.030826	7525.537431	7624.524221	13.96744579	2.739044159	37	34
52	m	6709.429415	6433.970411	6984.888419	12.89361174	2.750384077	20	33
53	f	8882.042988	8721.985048	9042.100928	21.73306186	3.414396126	36	32
54	f	8559.993855	8406.955978	8713.031731	25.28000981	3.669176895	27	31
55	f	8292.854588	8162.242631	8423.466545	13.58277743	2.741939615	34	35
56	m	6681.155333	6405.077562	6957.233103	11.05043563	2.4845358	17	36
57	m	7753.388176	7462.806074	8043.970278	16.73463354	2.98595957	12	35
58	m	5783.736618	5687.638126	5873.828954	10.55791458	2.426889198	14	30
59	f	8082.122425	7947.214108	8226.02463	18.15878681	3.151750233	42	19
60	f	9669.034684	9473.392201	9864.677167	14.01137901	2.794464059	33	34
61	m	7541.329613	7360.165862	7711.17063	15.09316584	2.836603982	14	37
63	m	6453.96221	6245.300715	6662.623705	16.76609663	3.016825855	16	29
64	m	6102.061254	5957.604737	6246.517771	14.88035342	2.847986814	14	28
65	f	8226.878024	8043.137528	8410.61852	22.05119617	3.562764854	34	36
66	m	6057.204894	5858.981985	6255.427802	8.123338813	2.128934375	6	35
67	m	5509.018411	5383.377181	5634.659642	13.12671875	2.685713405	13	30
68	m	6379.184285	6006.832009	6751.536561	17.26139926	3.040036564	24	33
